Region,Year,Month,MonthNum,Date,Metric,Value
East_Siberian,1987,Mar,3,1987-03-01,extent,1303711.475
East_Siberian,1988,Mar,3,1988-03-01,extent,1303711.475
East_Siberian,1989,Mar,3,1989-03-01,extent,1303711.475
East_Siberian,1990,Mar,3,1990-03-01,extent,1303670.032
East_Siberian,1991,Mar,3,1991-03-01,extent,1303711.475
East_Siberian,1992,Mar,3,1992-03-01,extent,1303691.247
East_Siberian,1993,Mar,3,1993-03-01,extent,1303690.721
East_Siberian,1994,Mar,3,1994-03-01,extent,1303711.475
East_Siberian,1995,Mar,3,1995-03-01,extent,1303711.475
East_Siberian,1996,Mar,3,1996-03-01,extent,1303711.475
East_Siberian,1997,Mar,3,1997-03-01,extent,1303711.475
East_Siberian,1998,Mar,3,1998-03-01,extent,1303711.475
East_Siberian,1999,Mar,3,1999-03-01,extent,1303711.475
East_Siberian,2000,Mar,3,2000-03-01,extent,1303711.475
East_Siberian,2001,Mar,3,2001-03-01,extent,1303711.475
East_Siberian,2002,Mar,3,2002-03-01,extent,1303711.475
East_Siberian,2003,Mar,3,2003-03-01,extent,1303711.475
East_Siberian,2004,Mar,3,2004-03-01,extent,1303711.475
East_Siberian,2005,Mar,3,2005-03-01,extent,1303690.871
East_Siberian,2006,Mar,3,2006-03-01,extent,1303690.914
East_Siberian,2007,Mar,3,2007-03-01,extent,1303711.475
East_Siberian,2008,Mar,3,2008-03-01,extent,1303711.475
East_Siberian,2009,Mar,3,2009-03-01,extent,1303711.475
East_Siberian,2010,Mar,3,2010-03-01,extent,1303711.475
East_Siberian,2011,Mar,3,2011-03-01,extent,1303711.475
East_Siberian,2012,Mar,3,2012-03-01,extent,1303711.475
East_Siberian,2013,Mar,3,2013-03-01,extent,1303711.475
East_Siberian,2014,Mar,3,2014-03-01,extent,1303711.475
East_Siberian,2015,Mar,3,2015-03-01,extent,1303711.475
East_Siberian,2016,Mar,3,2016-03-01,extent,1303711.475
East_Siberian,2017,Mar,3,2017-03-01,extent,1303711.475
East_Siberian,2018,Mar,3,2018-03-01,extent,1303711.475
East_Siberian,2019,Mar,3,2019-03-01,extent,1303711.475
East_Siberian,2020,Mar,3,2020-03-01,extent,1303711.475
East_Siberian,2021,Mar,3,2021-03-01,extent,1303711.475
East_Siberian,2022,Mar,3,2022-03-01,extent,1303711.475
East_Siberian,2023,Mar,3,2023-03-01,extent,1303711.475
East_Siberian,2024,Mar,3,2024-03-01,extent,1303711.475
East_Siberian,1979,Apr,4,1979-04-01,extent,1303711.475
East_Siberian,1980,Apr,4,1980-04-01,extent,1303711.475
East_Siberian,1981,Apr,4,1981-04-01,extent,1303711.475
East_Siberian,1982,Apr,4,1982-04-01,extent,1303668.458
East_Siberian,1983,Apr,4,1983-04-01,extent,1303711.475
East_Siberian,1984,Apr,4,1984-04-01,extent,1303711.475
East_Siberian,1985,Apr,4,1985-04-01,extent,1303711.475
