,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
2010,1230746.381,5,1231642.667,28.5,1231587.81,9,1231475.798,14,1192828.262,7,766382.837,3,165939.067,2,45954.131,6,13034.456,6,27006.774,7,69635.811,1,692785.362,1
2011,1108800.922,1,1231642.667,28.5,1230997.719,1,1229366.805,2,1178240.05,4,872685.284,9,231036.65,9,67484.517,10,15468.593,15,33513.807,13,166074.041,7,959171.286,9
2012,1230791.117,6,1231642.667,28.5,1231642.667,31.5,1230592.214,5,1217165.418,23,922117.009,11,220171.986,8,66108.43,9,13402.51,7,26429.656,6,238028.139,12,1093878.864,21
2013,1231605.373,19,1231642.667,28.5,1231642.667,31.5,1231642.667,36.5,1230541.614,42,1021082.343,24,246924.567,11,79635.398,17,16745.526,17,33756.286,14,323008.346,21,1147493.909,26
2014,1231642.667,34,1231642.667,28.5,1231642.667,31.5,1231642.667,36.5,1231372.244,45,998635.167,20,269460.16,15,71696.84,13,12567.536,2,44677.238,23,357655.739,28,1191999.177,36
2015,1231642.667,34,1231642.667,28.5,1231642.667,31.5,1231623.28,25,1167629.172,2,965964.604,15,452440.679,31,100047.134,25,31764.726,36,56365.975,28,412886.79,30,1039174.055,15
2016,1231642.667,34,1231642.667,28.5,1231642.667,31.5,1231642.667,36.5,1181937.575,5,1007571.238,21,339647.098,20,52780.555,7,12645.139,4,32609.197,11,167466.203,8,884653.704,5
2017,1231642.667,34,1231642.667,28.5,1231642.667,31.5,1231642.667,36.5,1209768.457,15,881648.573,10,203305.674,5,44193.756,5,15167.089,14,39923.305,19,352460.156,26,1090379.041,19
2018,1231642.667,34,1231642.667,28.5,1231642.667,31.5,1231642.667,36.5,1197938.401,9,1048767.361,26,427564.298,26,89768.116,21,14202.914,10,65349.842,33,478045.754,33,1170739.1,32
2019,1231642.667,34,1231642.667,28.5,1231642.667,31.5,1231642.667,36.5,1227961.193,38,987857.001,19,301154.825,17,32546.342,1,11960.232,1,21250.733,2,171338.581,9,1011787.075,12
2020,1230471.94,4,1231642.667,28.5,1231642.667,31.5,1230606.134,6,1176201.309,3,953982.167,14,309423.863,18,60269.212,8,15681.343,16,23635.499,5,355011.15,27,1092559.146,20
2021,1231642.667,34,1231642.667,28.5,1231642.667,31.5,1231407.505,12,1186653.209,6,938029.975,12,252062.227,12,75053.124,15,14219.472,11,19160.157,1,111156.406,3,804594.119,4
2022,1231306.729,9,1231642.667,28.5,1231642.667,31.5,1231146.596,9,1223219.144,27,870213.835,8,276277.873,16,43588.812,4,13763.491,8,30310.7,10,259262.465,14,1057414.667,16
2023,1231176.379,7,1231642.667,28.5,1231642.667,31.5,1231642.667,36.5,1200754.069,12,793464.975,5,180597.927,3,95963.706,24,17083.388,18,32842.215,12,149318.41,5,772890.957,3
2024,1228280.64,3,1231642.667,28.5,1231642.667,31.5,1230060.951,3,1134927.528,1,702613.015,1,268231.374,14,74719.375,14,23163.126,29,41920.47,20,70316.047,2,,
