,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
2014,920760.357,30,924037.51,29,927959.049,36,917362.316,21,883081.1,26,758843.213,21,495774.651,14,443739.261,23,385743.757,21,549277.099,13,819015.858,12,914910.576,25
2015,916977.631,21,923252.253,27,926525.719,31,915032.135,17,812239.175,6,655178.751,8,455191.433,12,194700.393,7,153033.356,5,562641.767,17,889542.566,34,926560.153,40
2016,921181.886,31,924341.046,30,924619.619,28,880546.397,2,661768.776,1,558963.524,4,361848.87,4,157089.807,5,102769.762,4,327179.665,4,787314.983,4,915344.755,26
2017,909735.561,9,919961.871,23,924378.925,27,926878.601,38,835893.896,9,667100.505,10,484979.757,13,196290.567,8,158582.427,6,445171.336,7,784582.561,3,903087.576,16
2018,910046.307,10,927202.063,35,928167.694,38,925623.228,35,879778.265,23,778800.786,25,559971.345,19,348918.679,14,334203.448,18,610808.551,22,869077.024,23,919287.121,33
2019,925791.982,36,913420.3,11,907493.519,8,912872.704,14,750915.183,2,545693.194,3,377199.281,5,181462.503,6,189279.562,9,411949.481,5,768981.537,2,907375.171,19
2020,930469.978,39,934200.482,44,920445.932,21,914030.099,16,879942.044,24,778990.88,26,577967.808,22,320933.138,13,277427.561,13,615772.394,23,887809.388,33,914544.258,24
2021,925153.379,35,932915.054,42,929682.159,41,930580.827,42,872578.239,18,747248.026,17,635189.87,30,425058.204,22,283523.501,14,560812.36,15,795421.936,6,923564.564,36
2022,931706.045,42,931861.953,41,928065.754,37,931726.802,45,876790.814,22,787029.651,27,596032.59,25,355621.423,16,249642.376,12,517287.928,9,808001.549,10,872135.389,2
2023,921826,32,933815.673,43,911347.34,11,917690.756,23,859632.731,13,761748.014,22,414967.538,6,146118.046,4,73703.17,3,287861.44,3,793157.971,5,905653.438,18
2024,904458.419,6,930115.001,39,927546.516,34,913637.267,15,862262.167,15,646713.341,6,424691.964,7,130234.602,3,66632.721,2,268530.801,2,814432.841,11,,
