,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
2010,1264761.614,5,1280044.311,17,1285450.976,27,1290238.212,38,1243308.085,17,1122271.04,21,835411.204,23,455751.094,21,185359.807,11,631819.378,15,1183781.998,14,1268510.053,20
2011,1283714.458,24,1283253.241,22,1278958.543,18,1262183.77,4,1256138.938,25,1183960.502,37,741117.902,14,355026.847,14,228762.961,14,575854.289,9,1193188.154,16,1288698.832,40
2012,1285672.658,30,1291407.778,39,1286200.276,29,1288213.638,32,1211381.403,4,1037102.224,5,645872.729,9,132506.653,2,15498.723,2,487511.697,8,1193370.666,17,1246314.857,8
2013,1265668.002,7,1290124.7,35,1280857.006,21,1274864.1,11,1246769.737,22,1127196.992,24,854063.865,26,517484.411,26,483579.789,28,995734.428,27,1256555.537,38,1272633.211,26
2014,1291423.919,39,1281780.622,19,1293827.901,44,1266143.216,7,1215593.429,7,1103961.501,13,863147.505,28,425724.952,19,265183.551,17,577000.396,10,1078287.361,5,1267923.944,19
2015,1280307.274,20,1283723.278,24,1292567.891,43,1295378.698,46,1272978.123,35,1116356.852,18,622673.585,7,298118.99,10,186380.049,12,604935.241,13,1182714.991,13,1293690.298,42
2016,1291756.561,41,1288069.167,31,1290373.951,39,1288948.559,35,1235454.963,15,1090360.231,9,690863.181,12,233630.287,6,117983.772,7,434932.121,5,1017257.42,2,1236052.142,4
2017,1278159.14,17,1289016.259,34,1276008.977,13,1264617.871,5,1214733.335,5,1062145.034,7,567811.392,4,269568.287,7,202860.281,13,605661.397,14,1087111.806,6,1261454.102,14
2018,1291699.73,40,1275967.278,13,1277151.314,15,1280832.198,20,1269444.756,31,1180482.565,36,811688.916,19,453430.192,20,169370.394,9,360591.613,4,1177844.651,10,1284143.035,35
2019,1291081.093,37,1287734.743,30,1290909.303,41,1277508.731,12,1205294.256,3,1095827.625,10,576433.455,5,133897.291,3,64262.874,4,270817.487,3,1070555.629,4,1257689.698,10
2020,1283753.754,25,1290689.057,36,1273444.511,7,1261798.246,3,1185472.188,2,982043.453,2,483084.749,1,159309.267,5,71324.224,5,95025.153,1,1018510.793,3,1231034.867,3
2021,1285390.827,29,1274019.199,10,1286447.769,30,1285721.643,28,1234519.371,14,984888.111,3,567674.564,3,272076.098,9,252480.506,16,797193.365,21,1245101.701,33,1279184.397,31
2022,1278716.4,18,1288549.535,33,1275134.21,10,1282606.773,24,1237933.926,16,1104154.868,14,832396.552,22,408067.697,18,176458.301,10,596631.699,11,1221624.363,23,1269223.062,21
2023,1282289.015,22,1293413.322,42,1289542.364,36,1291638.103,40,1219458.895,9,1109566.086,16,637291.998,8,156107.417,4,23317.841,3,464829.362,7,1174353.5,7,1272208.197,25
2024,1279070.313,19,1291164.142,38,1289886.281,38,1281680.36,23,1265306.52,29,1135661.244,26,653184.932,10,271591.101,8,164939.107,8,602869.97,12,1225636.447,25,,
