,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
2015,179172.398,4,316119.837,5,361461.329,5,346918.29,14,64493.068,6,5244.82,2,471.728,11,0,22,150.274,6,3600.782,20,11978.788,9,153559.041,23
2016,287383.684,11,382480.341,13,404077.713,8,325835.907,10,54292.189,4,6268.981,3,588.295,15,0,22,276.636,14,4579.869,27,11871.148,8,69467.881,3
2017,173785.737,3,341184.886,8,422546.355,11,242101.96,4,30872.912,3,6775.371,5,353.841,4,0,22,197.586,8,3223.148,14,8009.798,4,39031.27,1
2018,125492.355,1,149650.327,1,168653.759,2,57468.338,1,7872.314,1,4221.724,1,415.2,6,0,22,305.686,15,4694.741,28,6346.205,1,109602.604,14
2019,317868.098,18,217774.939,2,154647.479,1,95129.306,2,29989.775,2,10046.448,8,501.981,12,0,22,445.284,25,3488.943,18,17715.979,18,68395.29,2
2020,288442.98,12,493294.878,27,463068.231,20,272664.723,7,116755.566,16,13969.646,15,421.233,8,0,22,343.265,18,4149.402,24,7688.206,2,74504.599,4
2021,264443.679,9,405575.853,14,438884.675,15,374752.091,19,157238.124,27,21337.886,32,651.424,18,0,22,101.99,2,2827.079,6,48930.403,37,206726.649,32
2022,414738.4,30,518662.171,31,441005.697,16,352958.578,15,95680.74,11,12182.769,14,692.552,20,0,22,401.583,21,2764.811,5,12989.768,11,76211.013,5
2023,322418.11,20,433804.574,22,423779.639,12,369581.017,18,144903.601,22,10619.685,10,3919.361,45,1534.464,45,441.875,24,3322.873,16,7878.021,3,140876.438,18
2024,310384.171,17,417930.637,19,470587.294,22,411818.898,25,148329.412,25,16544.445,23,5520.368,46,2016.724,46,772.536,39,6081.03,37,13420.974,13,,
