,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
2013,834099.964,14,1012069.183,15,944362.039,6,868850.673,5,759646.369,19,479536.463,22,94919.548,8,27406.3,15,32149.554,32,68285.576,17,336816.518,13,676706.482,24
2014,887026.929,24,1051881.948,21,1169652.429,31,1067392.535,34,786801.891,25,352997.846,2,55819.186,1,15400.886,1,14670.1,3,61435.053,13,275413.491,9,631768.489,18
2015,954142.545,33,1121929.283,33,1196506.284,34,1102451.314,41,802511.864,28,534913.421,30,206875.821,29,51900.968,35,34328.01,35,69686.109,18,412363.526,28,782783.867,37
2016,944987.551,31,1071845.542,25,1098374.814,27,909929.786,11,688726.735,8,425112.951,12,133390.58,14,22031.948,10,18201.466,8,56936.239,12,279708.449,11,670123.061,22
2017,931008.145,29,1065321.166,24,1082319.571,24,1067654.641,35,838188.815,37,491289.651,23,183286.1,25,36501.235,24,34672.38,37,89245.82,27,425081.22,29,597125.776,13
2018,853787.25,17,1108392.975,31,1040646.534,17,964209.767,23,812882.786,31,493442.336,24,168535.913,23,33752.835,21,27721.373,24,100073.51,32,495089.425,39,705892.863,30
2019,912202.02,25,1013057.38,16,991165.93,12,900022.411,9,698762.618,11,342681.088,1,70419.497,3,19467.718,6,13814.457,1,33775.911,1,181176.593,1,520691.416,3
2020,789051.038,9,964458.123,10,998958.364,13,795271.565,1,623499.667,1,382071.712,6,84875.771,5,16423.33,2,16557.782,5,46328.04,7,277597.275,10,582755.091,11
2021,742920.022,5,864111.213,4,941210.786,5,875463.949,6,651418.995,3,406729.8,8,91240.558,7,19415.581,5,17556.963,7,37423.562,3,255069.572,8,526410.045,4
2022,768946.138,7,1083567.948,27,1150005.061,30,998374.031,28,821356.494,35,519672.695,26,201575.835,27,38940.261,27,30778.293,30,88899.617,26,432449.797,32,607732.477,14
2023,818693.732,12,1038691.886,18,983123.682,11,918541.92,13,705057.667,12,438785.463,13,139852.253,16,38378.857,26,25629.54,17,49079.797,10,222339.632,5,515872.237,2
2024,721892.381,2,940169.414,7,974931.475,10,830133.841,4,680433.758,6,477491.609,21,151049.173,18,29162.709,17,21183.656,13,35180.996,2,208254.776,3,,
