,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
2011,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,870194.76,19,764072.917,8,405051.149,5,106830.496,4,46853.62,3,334199.321,3,872414.226,31.5,872414.226,27
2012,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,865254.371,13,811515.59,16,497727.743,8,189453.036,7,68938.178,6,437483.616,7,872348.606,7,872414.226,27
2013,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,854288.947,2,779490.954,10,559986.735,10,326222.924,16,101169.828,8,641818.945,18,872414.226,31.5,872414.226,27
2014,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,863848.34,8,730407.897,3,385120.447,4,75051.875,3,11666.085,2,371661.555,5,872414.226,31.5,872414.226,27
2015,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,872393.57,38,853605.687,29,612965.04,16,247987.512,9,93094.507,7,588058.457,14,872414.226,31.5,872414.226,27
2016,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,872372.665,36,869035.636,41,819054.511,38,501635.109,30,317646.679,23,504934.935,10,864400.921,2,872414.226,27
2017,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,871537.939,23,838227.557,23,696478.884,23,381701.192,22,306039.052,21,731695.606,23,872414.226,31.5,872414.226,27
2018,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,866694.289,17,746500.422,6,474552.229,7,142276.418,5,48486.847,4,210752.61,2,868837.577,3,872414.226,27
2019,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,861411.373,6,745416.035,4,421717.512,6,188487.664,6,108802.49,9,347275.062,4,870856.307,4,872414.226,27
2020,872414.226,27,872414.226,25.5,872414.226,26.5,870207.889,2,864533.942,10,724331.127,2,219288.171,1,58181.74,2,9483.66,1,65312.408,1,796190.084,1,872414.226,27
2021,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,854538.687,3,693915.157,1,299438.472,2,52433.963,1,57380.06,5,422893.685,6,872414.226,31.5,872414.226,27
2022,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,862268.376,7,760306.225,7,561805.928,11,342100.284,17,258115.136,18,569061.426,12,872414.226,31.5,872414.226,27
2023,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,866543.033,16,813120.779,17,619459.5,17,414338.954,24,375983.866,26,609448.061,17,872414.226,31.5,872414.226,27
2024,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,872351.411,33,776367.369,9,367697.216,3,280344.38,10,224502.124,14,553319.018,11,872178.901,6,,
