,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
2012,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,760815.949,31,753949.395,43,656913.823,18,310159.984,2,199674.57,1,462432.533,4,740906.998,6,761228.252,27
2013,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,757866.134,17,746568.418,33,689672.517,30,498895.084,23,435408.241,27,617574.162,18,745876.879,8,761228.252,27
2014,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,754093.955,9,702601.389,5,650455.052,13,579583.472,40,485180.274,36,668151.11,28,758359.655,17,761228.252,27
2015,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,752117.576,6,730056.339,21,660846.683,20,436738.673,11,283077.982,8,584188.474,16,761228.252,40,761228.252,27
2016,761228.252,27.5,761228.252,25,761228.252,26.5,761165.494,6,752445.785,7,730410.237,22,637446.756,6,373530.876,6,378344.039,16,559209.831,12,757106.794,16,761228.252,27
2017,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,756434.558,13,746787.738,34,627747.015,3,477185.228,19,426965.088,24,622861.223,21,751999.308,10,761228.252,27
2018,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,760486.402,28,732703.777,24,672596.978,23,555838.414,34,521208.021,39,700364.271,42,759978.386,18,761228.252,27
2019,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,745674.49,2,712888.265,6,657971.952,19,446508.622,12,381131.674,17,534556.138,9,736746.202,5,761228.252,27
2020,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,759515.993,21,727816.29,17,643315.136,7,467357.023,16,407187.504,19,552070.458,11,761228.252,40,761228.252,27
2021,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,760019.921,25,728313.355,19,651273.679,15,528504.769,28,466495.159,31,461959.154,3,713861.337,2,761228.252,27
2022,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,760856.957,32,760972.495,46,707406.035,39,409551.239,8,279049.897,7,522244.127,8,761228.252,40,761228.252,27
2023,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,756259.778,12,721712.422,11,594359.065,1,321860.594,4,227833.565,3,344543.122,2,717279.942,3,761228.252,27
2024,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,752642.506,8,696321.807,4,596844.176,2,298346.842,1,236806.264,4,251865.416,1,692534.014,1,,
