,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
2008,3207077.959,13,3224364.996,27,3224681.689,38,3224681.689,35.5,3224681.689,39,3224681.689,42.5,3224067.276,43,3177204.54,26,3087798.357,21,3190232.997,28,3218998.765,27,3216834.447,16
2009,3224681.689,41,3224541.043,28,3224681.689,38,3224681.689,35.5,3221045.406,13,3223413.994,24,3210250.736,22,3199694.93,31,3125668.031,25,3040483.159,7,3149977.256,7,3191406.868,8
2010,3211736.254,17,3220372.638,21,3224639.291,25,3223806.067,13,3222586.737,15,3202664.46,6,3158959.485,8,3141316.046,21,3143210.596,26,3162080.297,21,3223544.863,32,3224681.689,40.5
2011,3224681.689,41,3224681.689,41,3224237.633,19,3223784.292,12,3223517.146,18,3211551.382,9,3179646.949,13,3085362.526,11,2997821.896,9,3113807.255,14,3196435.002,14,3221294.909,23
2012,3192619.115,9,3171267.114,4,3182391.748,3,3221577.786,7,3224427.895,23,3207020.062,7,3145855.126,6,2994116.551,4,2717902.4,2,3001942.274,5,3094969.13,4,3163740.225,3
2013,3142355.056,2,3201019.261,8,3223622.975,16,3220762.747,6,3209411.184,4,3219700.344,17,3105591.442,3,2935917.851,2,2773561.211,4,3020078.19,6,3154082.394,8,3211624.167,13
2014,3189508.536,6,3170354.072,3,3209795.387,6,3224681.689,35.5,3224597.057,28,3224681.689,42.5,3219827.352,26,3120252.44,15,3030627.598,10,3189353.516,27,3222867.324,29,3220874.218,21
2015,3215098.636,19,3214933.052,16,3221652.096,12,3222294.648,8,3222881.268,16,3189116.547,3,3168560.546,11,3075163.815,8,3060317.035,14,3105020.913,11,3141300.049,6,3177153.644,5
2016,3170339.55,4,3169672.634,2,3173707.699,1,3214834.695,4,3188321.134,2,3166780.626,2,3099905.655,2,3028138.075,6,2911173.293,5,3095779.52,9,3071906.863,3,3109837.968,1
2017,3131185.474,1,3176034.428,6,3221150.109,10,3224681.689,35.5,3223919.322,20,3218073.773,13,3221823.79,31,3191635.895,29,3094691.775,24,3139322.937,16,3173448.726,11,3187668.918,6
2018,3193943.045,10,3153584.79,1,3178505.241,2,3213745.042,3,3179737.849,1,3117162.689,1,3079774.685,1,2963596.124,3,2964987.382,8,2952221.38,2,3120041.457,5,3151881.655,2
2019,3211205.253,15,3210405.703,12,3224470.143,22,3224616.043,21,3220849.452,11,3215137.935,10,3196504.211,16,3146209.947,22,3074821.665,17,3138449.971,15,3219938.677,28,3223582.308,30
2020,3224279.513,29,3224681.689,41,3224681.689,38,3224681.689,35.5,3214559.382,6,3220702.031,19,3114496.166,4,2907874.647,1,2579164.836,1,2920389.64,1,3069704.483,2,3188503.321,7
2021,3171460.305,5,3189226.593,7,3206902.538,5,3215130.742,5,3224681.689,39,3224287.726,30,3209564.483,21,3030264.659,7,2930021.225,6,3088631.836,8,3200098.541,17,3203493.552,12
2022,3202564.581,11,3214216.135,15,3194460.338,4,3224681.689,35.5,3224152.761,22,3198190.193,5,3153869.035,7,3082913.886,10,3077584.995,18,3103145.196,10,3157043.789,9,3201428.529,11
2023,3190247.987,7,3171688.411,5,3214288.444,8,3224659.783,22.5,3224533.59,25,3224353.791,32,3223708.576,40,3176603.742,25,3045796.254,12,3146111.381,19,3217272.338,25,3215162.248,15
2024,3221232.711,23,3202303.65,10,3221294.057,11,3224681.689,35.5,3223053.858,17,3219046.7,15,3158969.888,9,3013721.698,5,2952405.369,7,2980555.351,3,3032014.769,1,,
