,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
2014,743724.329,41,740256.909,38,735047.881,31,739571.769,40,700373.914,11,606637.278,28,468894.323,31,351598.991,38,290124.393,33,510321.433,27,675242.342,13,734740.533,35
2015,731062.978,21,729504.652,24,730046.048,20,727905.405,18,684622.818,3,548458.276,5,423338.379,11,211765.402,9,147463.302,6,417365.883,15,699975.426,32,741254.532,43
2016,735587.14,29,740898.917,39,737679.97,37,733692.305,31,703817.01,14,539035.974,2,396177.223,5,185531.102,6,197629.99,13,406759.304,14,672044.773,11,723364.984,20
2017,745156.491,42,744742.441,44,744562.684,45,742116.79,43,698411.549,10,610449.726,29,421882.074,9,280608.809,20,257723.466,23,477783.035,20,690643.98,20,730361.477,26
2018,731562.041,22,736990.273,33,743845.617,43,743442.954,45,723484.001,35,576067.439,14,459259.874,21,325425.881,33,315242.917,36,537914.012,34,714672.397,41,729786.281,24
2019,741223.802,37,743174.967,41,736275.907,33,737011.67,38,690775.245,6,569477.485,12,432248.285,13,228291.063,11,216656.857,15,382637.653,9,656986.818,7,736217.985,37
2020,743011.553,40,744317.277,42,741830.554,40,732783.783,28,716976.115,28,560432.415,9,429493.975,12,236002.274,13,223050.851,17,386061.196,11,703774.215,35,737056.079,39
2021,748528.063,45,748267.706,46,744540.177,44,743983.606,46,717352.586,29,567632.186,10,462383.4,24,305856.692,29,283673.418,32,288434.139,3,585424.322,3,715884.68,11
2022,733134.113,23,734083.997,28,733460.712,26,741986.634,42,729164.83,38,640282.314,39,461725.669,23,228502.649,12,172766.335,10,362485.312,8,696802.081,24,731376.995,29
2023,733331.277,24,733785.006,27,736023.045,32,736188.373,36,683617.159,2,553883.902,6,392549.213,2,159694.243,4,121824.975,5,214461.275,2,570140.571,2,696318.612,1
2024,724400.977,15,735961.197,29,734869.126,30,727720.72,17,687914.674,5,539619.891,3,376053.532,1,149132.426,3,115535.145,3,140212.366,1,543220.477,1,,
