,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
2011,830271.256,29.5,830271.256,26,830271.256,28.5,830271.256,26.5,808591.675,12,619810.772,4,416089.512,5,147097.956,5,43348.593,9,184484.876,8,525955.931,13,830271.256,41
2012,830271.256,29.5,830271.256,26,830271.256,28.5,830271.256,26.5,828178.744,35,749098.084,29,593173.694,30,138506.878,3,3463.569,1,217017.406,10,723320.262,33,830192.823,33
2013,830271.256,29.5,830271.256,26,830271.256,28.5,830271.256,26.5,824568.054,27,745764.497,28,492218.525,10,256920.437,16,211466.609,21,365917.898,24,612949.73,23,778501.851,11
2014,830271.256,29.5,830271.256,26,830271.256,28.5,830271.256,26.5,801241.2,8,684011.113,15,528395.576,16,279486.848,17,137598.006,15,297221.705,19,482263.76,9,764570.228,7
2015,830251.655,9,830271.256,26,830271.256,28.5,830271.256,26.5,800070.537,7,619424.512,3,391826.203,3,190462.636,11,115851.51,14,324107.798,21,518107.122,12,813586.463,14
2016,830271.256,29.5,830271.256,26,830271.256,28.5,830271.256,26.5,793963.986,5,688991.47,18,518015.654,14,249829.297,15,86152.303,13,168664.959,6,427056.005,4,714631.034,4
2017,824851.616,1,830271.256,26,830271.256,28.5,829967.404,3,751496.072,3,574061.288,2,367114.887,2,104729.578,2,44679.091,10,141135.189,3,322847.093,2,685936.511,1
2018,829287.419,2,827403.286,1,830271.256,28.5,823186.421,1,719336.415,2,625756.48,5,460586.011,8,189620.021,10,52616.728,11,149652.503,5,433766.62,5,766165.41,8
2019,830271.256,29.5,830271.256,26,829087.632,1,829496.002,2,706110.292,1,567119.38,1,302852.353,1,68014.754,1,36843.315,7,62565.559,1,243500.429,1,701241.366,3
2020,830271.256,29.5,830271.256,26,830251.41,4,830271.256,26.5,809226.361,14,670559.807,12,454094.051,7,166572.838,8,7025.352,2,141180.856,4,402204.376,3,748557.873,6
2021,830271.256,29.5,830271.256,26,830271.256,28.5,830271.256,26.5,817840.334,22,704784.547,20,540050.997,22,380826.757,25,280898.698,26,417927.888,28,727292.712,35,830190.939,31
2022,830271.256,29.5,830271.256,26,830271.256,28.5,830271.256,26.5,812379.021,15,672563.842,13,468969.521,9,197805.812,12,41333.839,8,184445.572,7,474427.039,8,773109.025,10
2023,830271.256,29.5,830271.256,26,830271.256,28.5,830271.256,26.5,825226.482,28,752126.424,31,529911.822,18,161981.201,7,30868.217,6,226291.641,11,493419.435,11,766865.049,9
2024,830271.256,29.5,830271.256,26,830271.256,28.5,830271.256,26.5,824358.344,26,773223.287,37,600990.486,33,315505.555,21,184662.895,20,271690.379,15,633595.334,26,,
